R Json	4	1	0.0245250
W MPck	4	1	0.0058186
R MPck	4	1	0.0071386
W Json	4	1	0.0993569
R Json	4	1	0.0269563
W MPck	4	1	0.0058593
R MPck	4	1	0.0095131
W Json	4	2	0.1135304
R Json	4	2	0.0168366
W MPck	4	2	0.0056871
R MPck	4	2	0.0065122
W Json	4	2	0.1151997
R Json	4	2	0.0176422
W MPck	4	2	0.0055332
R MPck	4	2	0.0076412
W Json	4	2	0.0937396
R Json	4	2	0.0179946
W MPck	4	2	0.0057452
R MPck	4	2	0.0068691
W Json	4	3	0.1103757
R Json	4	3	0.0300665
W MPck	4	3	0.0093578
R MPck	4	3	0.0113821
W Json	4	3	0.1011440
R Json	4	3	0.0167684
W MPck	4	3	0.0060053
R MPck	4	3	0.0073781
W Json	4	3	0.1009432
R Json	4	3	0.0164882
W MPck	4	3	0.0097591
R MPck	4	3	0.0081038
W Json	4	4	0.2003499
R Json	4	4	0.0166893
W MPck	4	4	0.0058810
R MPck	4	4	0.0071919
W Json	4	4	0.1039127
R Json	4	4	0.0182299
W MPck	4	4	0.0059791
R MPck	4	4	0.0073308
W Json	4	4	0.1142213
R Json	4	4	0.0187468
W MPck	4	4	0.0064611
R MPck	4	4	0.0077820
W Json	5	1	0.1413057
R Json	5	1	0.0217548
W MPck	5	1	0.0074337
R MPck	5	1	0.0085721
W Json	5	1	0.1443741
R Json	5	1	0.0349833
W MPck	5	1	0.0073042
R MPck	5	1	0.0088511
W Json	5	1	0.1257800
R Json	5	1	0.0190802
W MPck	5	1	0.0078139
R MPck	5	1	0.0136193
W Json	5	2	0.1175087
R Json	5	2	0.0203401
W MPck	5	2	0.0072802
R MPck	5	2	0.0084868
W Json	5	2	0.1199299
R Json	5	2	0.0242194
W MPck	5	2	0.0077718
R MPck	5	2	0.0088419
W Json	5	2	0.1199128
R Json	5	2	0.0210803
W MPck	5	2	0.0071452
R MPck	5	2	0.0086774
W Json	5	3	0.1338194
R Json	5	3	0.0213751
W MPck	5	3	0.0074989
R MPck	5	3	0.0101464
W Json	5	3	0.1208913
R Json	5	3	0.0206111
W MPck	5	3	0.0455747
R MPck	5	3	0.0152456
W Json	5	3	0.1769712
R Json	5	3	0.0219285
W MPck	5	3	0.0077347
R MPck	5	3	0.0113047
W Json	5	4	0.1363086
R Json	5	4	0.0205804
W MPck	5	4	0.0073242
R MPck	5	4	0.0093449
W Json	5	4	0.1384035
R Json	5	4	0.0186316
W MPck	5	4	0.0075651
R MPck	5	4	0.0099089
W Json	5	4	0.1282776
R Json	5	4	0.0202320
W MPck	5	4	0.0073393
R MPck	5	4	0.0091921
W Json	6	1	0.1577666
R Json	6	1	0.0286865
W MPck	6	1	0.0094651
R MPck	6	1	0.0100805
W Json	6	1	0.1570899
R Json	6	1	0.0225299
W MPck	6	1	0.0096663
R MPck	6	1	0.0106572
W Json	6	1	0.1584786
R Json	6	1	0.0232151
W MPck	6	1	0.0097553
R MPck	6	1	0.0114330
W Json	6	2	0.1671095
R Json	6	2	0.0373881
W MPck	6	2	0.0147401
R MPck	6	2	0.0169217
W Json	6	2	0.1617022
R Json	6	2	0.0224794
W MPck	6	2	0.0087194
R MPck	6	2	0.0103484
W Json	6	2	0.1988687
R Json	6	2	0.0342695
W MPck	6	2	0.0134677
R MPck	6	2	0.0163895
W Json	6	3	0.1475048
R Json	6	3	0.0229992
W MPck	6	3	0.0091350
R MPck	6	3	0.0125951
W Json	6	3	0.2078572
R Json	6	3	0.0271416
W MPck	6	3	0.0090673
R MPck	6	3	0.0168935
W Json	6	3	0.1674135
R Json	6	3	0.0361608
W MPck	6	3	0.0087787
R MPck	6	3	0.0127824
W Json	6	4	0.1450324
R Json	6	4	0.0233143
W MPck	6	4	0.0094357
R MPck	6	4	0.0102165
W Json	6	4	0.1497916
R Json	6	4	0.0248082
W MPck	6	4	0.0099106
R MPck	6	4	0.0102851
W Json	6	4	0.1597870
R Json	6	4	0.0381694
W MPck	6	4	0.0087514
R MPck	6	4	0.0163845
W Json	7	1	0.1690476
R Json	7	1	0.0281931
W MPck	7	1	0.0104315
R MPck	7	1	0.0124701
W Json	7	1	0.1736624
R Json	7	1	0.0454024
W MPck	7	1	0.0154449
R MPck	7	1	0.0167030
W Json	7	1	0.2037955
R Json	7	1	0.0328875
W MPck	7	1	0.0105941
R MPck	7	1	0.0128901
W Json	7	2	0.1956990
R Json	7	2	0.0287665
W MPck	7	2	0.0103631
R MPck	7	2	0.0119644
W Json	7	2	0.1813547
R Json	7	2	0.0296506
W MPck	7	2	0.0103644
R MPck	7	2	0.0119135
W Json	7	2	0.1814452
R Json	7	2	0.0483097
W MPck	7	2	0.0103741
R MPck	7	2	0.0183476
W Json	7	3	0.1722100
R Json	7	3	0.0291332
W MPck	7	3	0.0127226
R MPck	7	3	0.0205684
W Json	7	3	0.1739106
R Json	7	3	0.0291929
W MPck	7	3	0.0104881
R MPck	7	3	0.0125843
W Json	7	3	0.1707423
R Json	7	3	0.0265845
W MPck	7	3	0.0103776
R MPck	7	3	0.0139712
